src,dst,length_m,way_id
3378183013,973472721,51.7,43390970
973472721,3378183013,51.7,43390970
973472721,3378183014,116.3,43390970
3378183014,973472721,116.3,43390970
3378183014,3378183015,53.5,43390970
3378183015,3378183014,53.5,43390970
3378183015,546622468,48.1,43390970
546622468,3378183015,48.1,43390970
546622468,3378183016,61.7,43390970
3378183016,546622468,61.7,43390970
3378183016,3382376977,209.1,43390970
3382376977,3378183016,209.1,43390970
3382376977,3378183017,9.0,43390970
3378183017,3382376977,9.0,43390970
3378183017,546622469,56.5,43390970
546622469,3378183017,56.5,43390970
546622469,973472838,56.6,43390970
973472838,546622469,56.6,43390970
973472838,3378183018,69.4,43390970
3378183018,973472838,69.4,43390970
3378183018,546622477,45.1,43390970
546622477,3378183018,45.1,43390970
546622477,3378183019,230.1,43390970
3378183019,546622477,230.1,43390970
3378183019,973473253,103.1,43390970
973473253,3378183019,103.1,43390970
973473253,3378183020,228.3,43390970
3378183020,973473253,228.3,43390970
3378183020,691894662,40.1,43390970
691894662,3378183020,40.1,43390970
691894662,3378183021,58.2,43390970
3378183021,691894662,58.2,43390970
3378183021,691894634,170.4,43390970
691894634,3378183021,170.4,43390970
691894634,3379254350,47.4,43390970
3379254350,691894634,47.4,43390970
3379254350,691894640,46.9,43390970
691894640,3379254350,46.9,43390970
691894640,3378183022,94.7,43390970
3378183022,691894640,94.7,43390970
3378183022,7954685701,128.3,43390970
7954685701,3378183022,128.3,43390970
7954685701,7954685699,42.6,43390970
7954685699,7954685701,42.6,43390970
7954685699,7954685702,33.7,43390970
7954685702,7954685699,33.7,43390970
7954685702,691894643,19.8,43390970
691894643,7954685702,19.8,43390970
691894643,3378183023,28.4,43390970
3378183023,691894643,28.4,43390970
3378183023,691894647,26.6,43390970
691894647,3378183023,26.6,43390970
691894647,691894650,243.2,43390970
691894650,691894647,243.2,43390970
691894650,3234984353,60.7,43390970
3234984353,691894650,60.7,43390970
3234984353,3378183024,27.4,43390970
3378183024,3234984353,27.4,43390970
3378183024,691894653,32.2,43390970
691894653,3378183024,32.2,43390970
691894653,3234984350,57.5,43390970
3234984350,691894653,57.5,43390970
3234984350,1502571756,205.1,43390970
1502571756,3234984350,205.1,43390970
1502571756,691894656,83.0,43390970
691894656,1502571756,83.0,43390970
691894656,3379946278,139.6,43390970
3379946278,691894656,139.6,43390970
3379946278,973472989,67.9,43390970
973472989,3379946278,67.9,43390970
973472989,2019895905,184.7,43390970
2019895905,973472989,184.7,43390970
2019895905,2019895902,185.1,43390970
2019895902,2019895905,185.1,43390970
2019895902,2019895904,78.4,43390970
2019895904,2019895902,78.4,43390970
2019895904,2019895908,62.7,43390970
2019895908,2019895904,62.7,43390970
2019895908,2019895900,86.6,43390970
2019895900,2019895908,86.6,43390970
2019895900,3379946277,182.9,43390970
3379946277,2019895900,182.9,43390970
3379946277,2019895912,97.9,43390970
2019895912,3379946277,97.9,43390970
2019895912,2019895901,86.9,43390970
2019895901,2019895912,86.9,43390970
2019895901,2019895906,102.7,43390970
2019895906,2019895901,102.7,43390970
2019895906,2019895909,78.6,43390970
2019895909,2019895906,78.6,43390970
2019895909,2019895897,47.8,43390970
2019895897,2019895909,47.8,43390970
2019895897,7954685731,45.0,43390970
7954685731,2019895897,45.0,43390970
2912193949,299421605,13.8,43396584
299421605,12279161448,27.6,43396584
12279161448,2912193956,116.9,43396584
2912193956,546800793,127.3,43396584
