id,lat,lon
3376770950,26.5569984,37.9385644
3376770951,26.5570491,37.9380406
3376770952,26.5570522,37.9376194
3376770953,26.5568496,37.9362073
3376770954,26.5567705,37.9359029
3376770955,26.5566755,37.9357365
3376770956,26.5565489,37.9355914
3376770957,26.5560202,37.9352906
3376770958,26.5558809,37.935195
3376770959,26.5558144,37.9350676
3376770960,26.5557764,37.9349367
3376770961,26.5557543,37.934742
3376770962,26.5557543,37.9345368
3376770963,26.5557701,37.9344377
3376770964,26.5558176,37.9343456
3376770965,26.5558936,37.9342713
3376770966,26.5565082,37.9339795
3376770967,26.5566568,37.9338709
3376770968,26.556742,37.933732
3376770969,26.5567674,37.9335422
6448629734,26.5567655,37.9332447
6448629735,26.5570304,37.9333438
6448629736,26.5577982,37.9337447
6448629737,26.5584764,37.9340584
12277138874,26.5581466,37.9325736
12277138878,26.5583813,37.9329567
12277138880,26.5582613,37.9328493
12277138882,26.557782,37.9326768
12277138883,26.5576457,37.9334678
12277138884,26.5577695,37.9325553
12277138885,26.557689,37.9323463
12277138886,26.5570244,37.9325337
12277138889,26.5565157,37.9326057
12277138890,26.556648,37.9329193
12277138891,26.5566276,37.9324486
12277138893,26.5548844,37.9325652
12277138895,26.5551213,37.9324666
12277138900,26.5557601,37.9322574
12277138901,26.5554182,37.9323494
12277138904,26.5570097,37.9373233
12277138905,26.5574027,37.9337769
12277138906,26.5583147,37.9341722
12277138907,26.5582891,37.9363082
12277138908,26.5572468,37.9368685
12277138909,26.5572565,37.9371828
12277138911,26.5573069,37.935418
12277138912,26.5582717,37.9353696
12277138913,26.5582838,37.9347265
12277138914,26.55827,37.9349751
12277138916,26.5583076,37.934299
12277138917,26.5572037,37.9361271
12277138918,26.55603,37.9332506
12277138919,26.5551349,37.9339073
12277138920,26.5541222,37.9338948
12277138921,26.5561567,37.9331796
12277138922,26.5553151,37.9337536
13188200109,26.5559094,37.9333354
13188200110,26.5567659,37.9333124
13297036332,26.5575288,37.933604
3376770934,26.552427,37.9428137
3376770935,26.5535413,37.9418417
3376770936,26.5538453,37.9416222
3376770937,26.5540194,37.9415621
3376770938,26.5544088,37.941555
3376770939,26.5550293,37.941509
3376770940,26.555539,37.9414276
3376770941,26.555903,37.9413002
3376770942,26.5561563,37.9411197
3376770943,26.5563874,37.9408082
3376770944,26.5565425,37.9404932
3376770945,26.5566343,37.940249
3376770946,26.5568876,37.9397323
3376770947,26.5569509,37.9395589
3376770948,26.5569763,37.9393925
3376770949,26.5569857,37.9392156
3377509863,26.5542541,37.945157
7956005274,26.5567711,37.9409033
7956005275,26.5564418,37.9406976
11645648073,26.5539287,37.9449631
11645648074,26.5537837,37.9450661
11645648075,26.5537021,37.9451734
11645648076,26.5536541,37.9452699
11645648077,26.553587,37.9452753
11645648078,26.5534862,37.9451412
11645648079,26.5535246,37.9450446
11645648080,26.5536397,37.9450124
11645648081,26.5538356,37.9448437
12362252373,26.5519438,37.9413547
12362252374,26.5519548,37.9413029
12362252375,26.5519306,37.941229
12362252394,26.5524723,37.9428718
12362252395,26.5523721,37.9429682
3376125789,26.5469199,37.9459085
3376125790,26.5464179,37.9471191
3376125791,26.5460978,37.9481264
3376125792,26.5458607,37.9490896
3376126209,26.5461415,37.9486519
3376126210,26.5463547,37.9478613
3376126211,26.5465721,37.9472295
3376126212,26.5468606,37.9465006
3376126213,26.5471649,37.9457804
3376126239,26.5476671,37.9495311
3376126240,26.5474576,37.9492704
3376126241,26.5472087,37.949076
3376126242,26.5469043,37.9488949
3376126243,26.5466672,37.9487977
3376126244,26.5490659,37.9512694
3376126248,26.5489823,37.9511683
3376126259,26.5479151,37.9472887
3376126260,26.5514461,37.9487101
3376126261,26.5492517,37.9459824
3376126262,26.551571,37.9469152
3376126263,26.5514613,37.9467823
3376126264,26.5505956,37.9476715
3376126266,26.5480583,37.950017
3376126267,26.5491851,37.9488913
3376126269,26.5468897,37.9464317
3376126397,26.5493135,37.951772
3376126400,26.5494177,37.9518811
3376126405,26.5456971,37.9505246
7925362151,26.5461126,37.9487736
7925362152,26.5467942,37.9490079
7925362153,26.5474,37.9493719
11536434431,26.5518974,37.9473289
11536434432,26.5510381,37.948188
11536434433,26.5485337,37.9507707
11536434436,26.5507176,37.9488983
11536434437,26.5502282,37.9493762
11536434438,26.5495903,37.9485232
11536434439,26.5512161,37.9484157
11536434441,26.5497239,37.9498912
11536434442,26.5490427,37.9490335
11536434443,26.550074,37.9481153
11536434445,26.550996,37.9461822
11536434446,26.5501521,37.9471017
11536434447,26.5492802,37.9471119
11536434448,26.5501053,37.9470371
11536434449,26.5487784,37.9464449
11536434453,26.5484405,37.9467752
11536434458,26.548971,37.9462567
11536434462,26.5483487,37.9497268
12297162941,26.5506214,37.9457261
12297162942,26.5512036,37.9464155
12297162953,26.5514521,37.946161
12297162954,26.547281,37.9455541
12297162955,26.5495891,37.947522
12297162958,26.548081,37.9502062
12297162960,26.5475694,37.9495794
12297162962,26.5458323,37.9499548
12297162963,26.5456684,37.9499046
12297162964,26.5471141,37.9492001
12297162965,26.5505984,37.9456982
12297162966,26.5497284,37.9465715
12299517316,26.5487522,37.9508791
12299517317,26.5485744,37.9495014
12299517318,26.5492537,37.9503692
12299517321,26.5499191,37.9496918
12299517322,26.5501476,37.9499953
